,U.S. states,Number of homicide victims
0,Texas,238
1,California,192
2,Pennsylvania,93
3,Georgia,74
4,Missouri,73
5,Virginia,72
6,Illinois,70
7,Michigan,70
8,Tennessee,70
9,New York,69
10,Ohio,67
11,North Carolina,55
12,Louisiana,54
13,Arizona,52
14,Indiana,47
15,Oklahoma,46
16,South Carolina,44
17,Washington,40
18,New Jersey,39
19,Maryland,39
20,Colorado,38
21,Kentucky,37
22,Arkansas,34
23,Nevada,33
24,Oregon,27
25,Wisconsin,26
26,New Mexico,24
27,Kansas,24
28,Mississippi,24
29,Minnesota,22
30,Connecticut,19
31,Massachusetts,18
32,Utah,14
33,Alaska,12
34,Idaho,11
35,Montana,9
36,Maine,9
37,Nebraska,9
38,North Dakoda,8
39,West Virginia,8
40,Delaware,7
41,Hawaii,6
42,Iowa,6
43,New Hampshire,6
44,Vermont,4
45,Rhode Island,3
46,South Dakota,2
47,Wyoming,2
48,Florida,-
49,Alabama,-
