,Year,Inflation rate compared to previous year
0,2024*,4%
1,2023*,4%
2,2022*,4%
3,2021*,4%
4,2020*,4.19%
5,2019*,4.41%
6,2018,4.35%
7,2017,3.93%
8,2016,2.73%
9,2015,3.16%
10,2014,6.08%
11,2013,5.19%
12,2012,5.22%
13,2011,6.76%
14,2010,4.7%
15,2009,5.5%
16,2008,11.4%
17,2007,6.94%
18,2006,5.58%
19,2005,8.81%
20,2004,8.11%
21,2003,7.67%
22,2002,7.69%
23,2001,9.68%
24,2000,11.05%
25,1999,11.66%
26,1998,13.67%
27,1997,20.2%
28,1996,23.85%
29,1995,29.43%
30,1994,21.77%
31,1993,10.78%
32,1992,8.74%
33,1991,33.95%
34,1990,23.32%
35,1989,9.85%
36,1988,4.49%
37,1987,2.49%
38,1986,4.35%
39,1985,3.36%
40,1984,4.73%
