,Month,Money supply in billion GBP
0,Jun '20,2691.34
1,May '20,2676.48
2,Apr '20,2641.42
3,Mar '20,2605.31
4,Feb '20,2484.58
5,Jan '20,2456.76
6,Dec '19,2446.55
7,Nov '19,2428.31
8,Oct '19,2420.11
9,Sep '19,2423.56
10,Aug '19,2429.24
11,Jul '19,2420.18
12,Jun '19,2414.47
13,May '19,2405.93
14,Apr '19,2416.96
15,Mar '19,2418.26
16,Feb '19,2407.08
17,Jan '19,2408.78
18,Dec '18,2414.2
19,Nov '18,2414.27
20,Oct '18,2416.13
21,Sep '18,2385.45
22,Aug '18,2375.69
23,Jul '18,2372.89
24,Jun '18,2371.17
25,May '18,2372.48
26,Apr '18,2351.39
27,Mar '18,2347.66
28,Feb '18,2360.26
29,Jan '18,2357.88
30,Dec '17,2345.36
31,Nov '17,2344.84
32,Oct '17,2339.79
33,Sep '17,2335.34
34,Aug '17,2333.07
35,Jul '17,2310.39
36,Jun '17,2316.37
37,May '17,2309.45
38,Apr '17,2302.19
39,Mar '17,2295.49
40,Feb '17,2287.7
41,Jan '17,2281.59
42,Dec '16,2279.28
43,Nov '16,2277.57
44,Oct '16,2289.5
45,Sep '16,2274.89
46,Aug '16,2269.61
47,Jul '16,2256.0
48,Jun '16,2246.36
49,May '16,2179.89
50,Apr '16,2177.51
51,Mar '16,2183.74
52,Feb '16,2181.97
53,Jan '16,2159.78
