,date,Change in access to fast food restaurants
0,03/04/2020,-25%
1,03/03/2020,-13%
2,03/02/2020,-38%
3,03/01/1020,-75%
4,02/29/2020,-44%
5,02/28/2020,-38%
6,02/27/2020,-44%
7,02/26/2020,-63%
8,02/25/2020,-69%
9,02/24/2020,-63%
10,02/23/2020,-57%
11,02/22/2020,55%
12,02/21/2020,-1%
13,02/20/2020,-19%
14,02/19/2020,-18%
15,02/18/2020,18%
16,02/17/2020,-38%
17,02/16/2020,-7%
18,02/15/2020,0%
19,02/14/2020,-19%
20,02/13/2020,-25%
21,02/12/2020,-13%
22,02/11/2020,24%
23,02/10/2020,-32%
24,02/09/2020,24%
25,02/08/2020,-19%
26,02/07/2020,55%
27,02/06/2020,6%
28,02/05/2020,12%
29,02/04/2020,6%
30,02/03/2020,-22%
31,02/02/2020,12%
32,02/01/2020,12%
