,Response,Share of U.S. students with a graduate degree
0,Biology and life sciences,57.7%
1,Physical sciences,50%
2,Psychology and social work,45.3%
3,Education,44.6%
4,Humanities and liberal arts,41.4%
5,Social sciences,41.4%
6,Architecture and engineering,38.2%
7,All majors,35.1%
8,Health,33.8%
9,"Computers, statistics, and mathematics",33.3%
10,Agriculture and natural resources,27.9%
11,"Industrial arts, consumer services, and recreation",24.2%
12,Law and public policy,24.2%
13,Arts,23.2%
14,Business,22.2%
