,Country,Index from 0 (no impact of terrorism) to 10 (highest impact of terrorism)
0,Afghanistan,9.59
1,Iraq,8.68
2,Nigeria,8.31
3,Syria,7.78
4,Somalia,7.65
5,Yemen,7.58
6,Pakistan,7.54
7,India,7.35
8,Democratic Republic of the Congo,7.18
9,Philippines,7.1
10,Mali,7.05
11,Burkina Faso,6.76
12,Cameroon,6.63
13,Egypt,5.42
14,Mozambique,6.4
15,Libya,6.25
16,Central African Republic,6.24
17,Turkey,6.11
18,Colombia,6.1
19,Sri Lanka,6.07
20,Thailand,5.78
21,South Sudan,5.73
22,Kenya,5.64
23,Niger,5.62
24,Myanmar,5.54
25,Sudan,5.4
26,Nepal,5.34
27,Ethiopia,5.31
28,United States of America,5.26
29,United Kingdom,5.16
30,Palestine,5.08
31,Saudi Arabia,5.0
32,Bangladesh,4.91
33,Chad,4.83
34,Burundi,4.7
35,Ukraine,4.69
36,Indonesia,4.63
37,France,4.61
38,Russia,4.54
39,Israel,4.52
40,South Africa,4.36
41,New Zealand,4.34
42,Mexico,4.32
43,Greece,4.18
44,Tajikistan,4.18
45,Iran,4.16
46,Chile,4.03
47,Germany,3.97
48,Tunisia,3.86
49,Rwanda,3.76
