,Year,Debt limit in billion U.S. dollars
0,2019 (August) - Suspended******,21987.7
1,2017 (September) - Suspended*****,20456.0
2,2017 (March) - Suspended****,19808.8
3,2015 (November) - Suspended***,18113.0
4,2013 (February) - Suspended**,16699.4
5,2011 (August)*,16394.0
6,2010 (February),14294.0
7,2009 (December),12394.0
8,2008 (October),11315.0
9,2007 (September),9815.0
10,2006 (March),8965.0
11,2002 (June),6400.0
12,1996 (March),5500.0
13,1990 (November),4145.0
14,1985 (December),2078.7
15,1980 (December),935.1
16,1975 (November),595.0
17,1970 (June),395.0
18,1965 (June),328.0
19,1960 (June),293.0
20,1954 (August),281.0
21,1945 (April),300.0
22,1940 (June),49.0
