,Year,GDP per capita in U.S. dollars
0,2024*,57071.6
1,2023*,54608.46
2,2022*,52269.46
3,2021*,50066.62
4,2020*,47931.46
5,2019*,46212.84
6,2018,46290.22
7,2017,45217.03
8,2016,42439.65
9,2015,43626.43
10,2014,51020.69
11,2013,52726.05
12,2012,52753.35
13,2011,52271.54
14,2010,47625.0
15,2009,40934.5
16,2008,46775.92
17,2007,44714.78
18,2006,40557.36
19,2005,36428.39
20,2004,32182.89
21,2003,28337.81
22,2002,24294.89
23,2001,23860.72
24,2000,24301.11
25,1999,22339.86
26,1998,21046.89
27,1997,21929.49
28,1996,21325.81
29,1995,20706.12
30,1994,20024.77
31,1993,20210.34
32,1992,20984.36
33,1991,21885.37
34,1990,21571.68
35,1989,20841.74
36,1988,19040.79
37,1987,16407.77
38,1986,14539.23
39,1985,14185.97
40,1984,13947.17
