,city of the United States,"Birth rate (births per 1,000 population)"
0,"Hinesville, GA",20.14
1,"Jacksonville, NC",19.96
2,"Provo-Orem, UT",18.65
3,"Odessa, TX",17.54
4,"Watertown-Fort Drum, NY",17.42
5,"Laredo, TX",17.12
6,"Clarksville, TN-KY",17.04
7,"Midland, TX",16.89
8,"Logan, UT-ID",16.85
9,"McAllen-Edinburg-Mission, TX",16.18
10,"Idaho Falls, ID",15.85
11,"Fairbanks, AK",15.83
12,"Manhattan, KS",15.75
13,"Fayetteville, NC",15.37
14,"Killeen-Temple, TX",15.29
15,"Hanford-Corcoran, CA",15.18
16,"Visalia, CA",15.08
17,"El Centro, CA",15.05
18,"Yakima, WA",14.93
19,"Ogden-Clearfield, UT",14.82
20,"Elkhart-Goshen, IN",14.8
21,"Merced, CA",14.71
22,"Grand Island, NE",14.7
23,"Brownsville-Harlingen, TX",14.66
24,"Sioux Falls, SD",14.66
25,"Bakersfield, CA",14.6
26,"Fresno, CA",14.52
27,"Hammond, LA",14.49
28,"Salt Lake City, UT",14.24
29,"Lake Charles, LA",14.18
30,"Enid, OK",14.15
31,"Twin Falls, ID",14.04
32,"Yuma, AZ",13.99
33,"Sioux City, IA-NE-SD",13.9
34,"Kennewick-Richland, WA",13.85
35,"Grand Forks, ND-MN",13.84
36,"El Paso, TX",13.81
37,"Yuba City, CA",13.76
38,"Abilene, TX",13.72
39,"Fargo, ND-MN",13.66
40,"Omaha-Council Bluffs, NE-IA",13.53
41,"Houston-The Woodlands-Sugar Land, TX",13.48
42,"Fort Wayne, IN",13.46
43,"Pocatello, ID",13.46
44,"Greeley, CO",13.44
45,"Columbus, GA-AL",13.43
46,"Modesto, CA",13.43
47,"Madera, CA",13.4
48,"Lawton, OK",13.39
49,"Fayetteville-Springdale-Rogers, AR",13.37
