,Country,DDD per thousand people per day
0,Finland,92.1
1,Czech Republic,89.5
2,Canada,84.7
3,United Kingdom,84.5
4,Germany,83.5
5,Slovenia,80.8
6,Greece,80.7
7,Netherlands,77.3
8,Spain,76.4
9,Slovak Republic,76.0
10,Hungary,74.2
11,Turkey,72.6
12,Belgium,71.0
13,Portugal,68.1
14,South Korea,66.9
15,Israel,64.4
16,Luxembourg,64.0
17,Sweden,62.8
18,Italy,62.7
19,Estonia,62.5
20,Australia,57.0
21,Denmark,56.5
22,Norway,55.8
23,Lithuania,50.0
24,Iceland,49.0
25,Chile,48.1
26,Austria,47.3
27,Latvia,45.5
