,State,Cost of care as a percentage of median income
0,California,17.5%
1,Maine,16.5%
2,Massachusetts,16.4%
3,Colorado,16%
4,Oregon,15.7%
5,Washington,15.3%
6,Minnesota,15.3%
7,Indiana,14.8%
8,New York,14.7%
9,Kansas,14.6%
10,Hawaii,14.3%
11,Nevada,14.2%
12,Illinois,14%
13,District of Columbia,13.9%
14,Nebraska,13.8%
15,Virginia,13.7%
16,Arizona,13.4%
17,Wisconsin,13.4%
18,Vermont,13.4%
19,Connecticut,12.7%
20,New Jersey,12.6%
21,Maryland,12.6%
22,New Mexico,12.5%
23,Utah,12%
24,New Hampshire,12%
25,Pennsylvania,11.9%
26,Iowa,11.8%
27,Idaho,11.8%
28,Oklahoma,11.7%
29,Alaska,11.7%
30,Florida,11.7%
31,Missouri,11.6%
32,Texas,11.6%
33,Michigan,11.5%
34,Tennessee,11.5%
35,South Carolina,11.2%
36,Delaware,11.2%
37,North Carolina,11.2%
38,Ohio,11%
39,Rhode Island,10.7%
40,West Virginia,10.6%
41,Georgia,10.4%
42,Wyoming,10.1%
43,Louisiana,9.5%
44,Kentucky,9.4%
45,North Dakota,9.3%
46,Alabama,9.1%
47,Arkansas,8.9%
48,Mississippi,7.6%
49,South Dakota *,-
50,Montana *,-
