,Response,Percentage of adults
0,District of Columbia,4.75%
1,Colorado,4.13%
2,Vermont,3.63%
3,Oregon,3.3%
4,Massachusetts,3.12%
5,California,3.04%
6,New Hampshire,2.89%
7,New York,2.82%
8,Rhode Island,2.79%
9,Washington,2.64%
10,Minnesota,2.59%
11,Wisconsin,2.47%
12,Nevada,2.44%
13,Illinois,2.41%
14,Alaska,2.38%
15,Delaware,2.37%
16,Indiana,2.3%
17,Pennsylvania,2.27%
18,U.S. total,2.26%
19,Hawaii,2.25%
20,New Mexico,2.24%
21,South Carolina,2.23%
22,Connecticut,2.21%
23,Maine,2.16%
24,Florida,2.13%
25,Arizona,2.12%
26,Oklahoma,2.1%
27,Maryland,2.08%
28,Michigan,2.08%
29,Montana,2.03%
30,Tennessee,2.02%
31,North Carolina,1.99%
32,Nebraska,1.98%
33,Georgia,1.98%
34,Virginia,1.96%
35,West Virginia,1.93%
36,Kentucky,1.85%
37,Alabama,1.83%
38,Utah,1.76%
39,Kansas,1.75%
40,Ohio,1.7%
41,Louisiana,1.62%
42,Mississippi,1.6%
43,New Jersey,1.58%
44,North Dakota,1.58%
45,Iowa,1.57%
46,Missouri,1.55%
47,Texas,1.54%
48,Arkansas,1.49%
49,Idaho,1.46%
50,Wyoming,1.39%
51,South Dakota,1.22%
