,Brand,Sales in million GBP
0,Heinz Classic,162.8
1,New Covent Garden,43.9
2,Batchelors Cup a Soup,35.0
3,Heinz Big Soup,26.2
4,Baxters favourites,21.9
5,Glorious!,12.7
6,Mug Shot Pasta snack,12.6
7,Mug Shot Noodle Snack,9.7
8,WeightWatchers,9.4
9,Baxters Vegetarian,6.8
10,Yorkshire Soup,5.4
11,Ainsley Harriott Cup Soup,4.9
12,Campbell's,4.9
13,Heinz Farmers' Market,4.7
14,Knorr,4.6
15,Heinz Black Label,4.3
16,Baxters Luxury,4.2
17,Baxters Healthy,3.5
18,Crosse & Blackwell,3.1
19,Heinz Squeeze & Stir,2.7
