,Year,GDP per capita in U.S. dollars
0,2025*,4805.84
1,2024*,4466.11
2,2023*,4151.21
3,2022*,3858.23
4,2021*,3601.87
5,2020*,3372.53
6,2019,3511.94
7,2018,3279.52
8,2017,3153.31
9,2016,3107.65
10,2015,3039.23
11,2014,2849.27
12,2013,2768.47
13,2012,2591.63
14,2011,2379.94
15,2010,2155.41
16,2009,1851.07
17,2008,1941.0
18,2007,1683.69
19,2006,1405.21
20,2005,1208.93
21,2004,1093.48
22,2003,1024.77
23,2002,1013.42
24,2001,970.38
25,2000,1051.97
26,1999,1078.0
27,1998,958.16
28,1997,1240.77
29,1996,1276.66
30,1995,1200.43
31,1994,1062.28
32,1993,922.19
33,1992,919.7
34,1991,806.94
35,1990,805.63
36,1989,794.1
37,1988,723.48
38,1987,648.26
39,1986,597.84
40,1985,627.54
