,Sports Team,Total payroll in million U.S. dollars
0,Los Angeles Dodgers,272.8
1,Paris Saint-Germain,227.1
2,New York Yankees,219.3
3,Real Madrid,216.0
4,Manchester City,215.0
5,FC Barcelona,202.1
6,Manchester United,200.6
7,Bayern Munich,191.5
8,Boston Red Sox,187.4
9,Chelsea London,186.6
10,Detroit Tigers,173.8
11,Arsenal London,173.8
12,San Francisco Giants,172.7
13,Washington Nationals,164.9
14,Los Angeles Angels,150.9
15,FC Liverpool,150.4
16,Texas Rangers,142.1
17,Philadelphia Phillies,135.8
18,Juventus Turin,127.4
19,Miami Dolphins,124.3
20,Cincinnati Bengals,123.3
21,Green Bay Packers,123.2
22,Toronto Blue Jays,122.5
23,Denver Broncos,122.3
24,Tampa Bay Buccaneers,122.2
25,St. Louis Cardinals,120.9
26,Tottenham,120.5
27,Seattle Mariners,119.8
28,Chicago Cubs,119.0
29,Detroit Lions,118.8
