,Country,Points
0,USA,2180
1,Germany,2059
2,Netherlands,2037
3,France,2029
4,England,2027
5,Sweden,2021
6,Canada,1976
7,Australia,1965
8,Korea DPR,1940
9,Brazil,1938
10,Japan,1937
11,Norway,1917
12,Spain,1899
13,Italy,1891
14,Denmark,1839
15,China PR,1838
16,Iceland,1822
17,Switzerland,1815
18,Belgium,1813
19,Korea Republic,1805
20,Austria,1793
21,Scotland,1791
22,New Zealand,1766
23,Ukraine,1708
24,Russia,1704
25,Colombia,1703
26,Mexico,1699
27,Czech Republic,1679
28,Poland,1675
29,Portugal,1671
30,Finland,1668
31,Wales,1667
32,Republic of Ireland,1666
33,Argentina,1664
34,Vietnam,1659
35,Nigeria,1643
36,Costa Rica,1630
37,Chile,1621
38,Thailand,1616
39,Chinese Taipei,1590
40,Cameroon,1552
41,Romania,1548
42,Serbia,1546
43,Uzbekistan,1542
44,Hungary,1525
45,Myanmar,1521
46,Slovakia,1500
47,Paraguay,1494
48,South Africa,1486
49,Papua New Guinea,1479
