,State,Number of registered weapons
0,Texas,830109
1,Florida,497078
2,Virginia,390946
3,California,386795
4,Pennsylvania,317858
5,Georgia,251503
6,Arizona,224266
7,North Carolina,196237
8,Ohio,187478
9,Alabama,177732
10,Illinois,150212
11,Indiana,142961
12,Wyoming,137346
13,Washington,136731
14,Tennessee,132471
15,Louisiana,127434
16,Maryland,126767
17,Colorado,126081
18,New Mexico,116045
19,Minnesota,107743
20,Nevada,104998
21,South Carolina,103881
22,Arkansas,103641
23,Kentucky,99305
24,Missouri,98828
25,Utah,97550
26,New Jersey,95848
27,Michigan,93297
28,Oklahoma,90884
29,New York,87766
30,Wisconsin,83236
31,Oregon,83141
32,Connecticut,75278
33,Idaho,69405
34,Mississippi,69034
35,District of Columbia,64273
36,New Hampshire,63713
37,Kansas,60783
38,Iowa,46613
39,West Virginia,44739
40,Massachusetts,39779
41,South Dakota,37479
42,Nebraska,34035
43,Montana,27467
44,North Dakota,24365
45,Alaska,23455
46,Maine,18695
47,Hawaii,9196
48,Vermont,8367
49,Delaware,5565
50,Rhode Island,4784
51,*Other US Territories,871
