,Year,Gross domestic product in billion international dollars
0,2021*,566.91
1,2020*,535.83
2,2019,566.23
3,2018,551.47
4,2017,523.98
5,2016,504.88
6,2015,491.3
7,2014,480.16
8,2013,460.01
9,2012,443.74
10,2011,431.06
11,2010,414.64
12,2009,398.41
13,2008,404.4
14,2007,388.49
15,2006,363.4
16,2005,338.91
17,2004,318.61
18,2003,302.32
19,2002,296.59
20,2001,291.44
21,2000,281.56
22,1999,264.63
23,1998,256.62
24,1997,246.53
25,1996,236.84
26,1995,231.35
27,1994,225.39
28,1993,217.8
29,1992,217.02
30,1991,208.62
31,1990,203.46
32,1989,189.37
33,1988,174.55
34,1987,163.21
35,1986,156.79
36,1985,150.89
37,1984,141.11
