,Year,Inflation rate compared to previous year
0,2024*,5%
1,2023*,5%
2,2022*,5.18%
3,2021*,5.76%
4,2020*,6.25%
5,2019*,6.65%
6,2018,7.29%
7,2017,8.28%
8,2016,6.66%
9,2015,7.4%
10,2014,6.08%
11,2013,5.83%
12,2012,5.71%
13,2011,9.48%
14,2010,9.25%
15,2009,8.95%
16,2008,9.3%
17,2007,10.29%
18,2006,10.77%
19,2005,18.36%
20,2004,13.96%
21,2003,-1.7%
22,2002,16.5%
23,2001,7.92%
24,2000,10.67%
25,1999,8.06%
26,1998,6.21%
27,1997,4.49%
28,1996,19.76%
29,1995,49.04%
30,1994,38.99%
31,1993,9.99%
32,1992,14.57%
33,1991,8.54%
34,1990,11.86%
35,1989,9.02%
36,1988,23.34%
37,1987,15.46%
38,1986,14.49%
39,1985,10.57%
40,1984,9.72%
