,Steel Producers,Production volume in million metric tons
0,ArcelorMittal (Luxembourg),96.42
1,China Baowu Group (China),67.43
2,Nippon Steel Corporation* (Japan),49.22
3,HBIS Group* (China),46.8
4,POSCO (South Korea),42.86
5,Shagang Group (China),40.66
6,Ansteel Group (China),37.36
7,JFE Steel (Japan),29.15
8,Jianlong Group (China),27.88
9,Shougang Group (China),27.34
10,Tata Steel* (India),27.27
11,Nucor (U.S.),25.49
12,Shandong Group (China),23.21
13,Valin Group (China),23.01
14,Hyundai Steel (South Korea),21.88
