,Year,Index points
0,12/9/2020,13362.87
1,12/2/2020,13278.49
2,11/25/2020,13382.3
3,11/18/2020,13292.44
4,11/11/2020,13133.47
5,11/4/2020,12568.09
6,10/28/2020,12088.98
7,10/20/2020,12063.57
8,10/13/2020,12736.95
9,10/7/2020,12928.57
10,9/30/2020,12906.02
11,9/23/2020,12825.82
12,9/16/2020,12594.39
13,9/9/2020,13217.67
14,9/2/2020,12968.33
15,8/26/2020,12974.25
16,8/19/2020,12977.33
17,8/12/2020,12881.76
18,8/5/2020,12946.89
19,7/29/2020,12835.28
20,7/22/2020,13171.83
21,7/15/2020,13171.83
22,7/8/2020,12697.36
23,7/1/2020,12616.8
24,6/24/2020,12310.93
25,6/17/2020,12523.76
26,6/10/2020,12315.66
27,6/3/2020,12617.99
28,5/27/2020,12021.28
29,5/20/2020,11504.65
30,5/13/2020,11075.29
31,5/6/2020,10819.5
32,4/29/2020,10729.46
33,4/22/2020,10795.63
34,4/15/2020,10249.85
35,4/8/2020,10696.56
36,4/1/2020,10356.7
37,3/25/2020,9874.26
38,3/18/2020,8928.95
39,3/11/2020,8939.1
40,3/4/2020,10475.49
41,2/26/2020,11985.39
42,2/19/2020,12790.49
43,2/12/2020,13681.19
44,2/5/2020,13627.84
45,1/29/2020,13281.74
46,1/22/2020,13323.69
47,1/15/2020,13555.87
48,1/8/2020,13456.49
49,1/1/2020,13226.83
