,NBA player,Number of rebounds
0,Wilt Chamberlain,23924
1,Bill Russell,21620
2,Kareem Abdul-Jabbar,17440
3,Elvin Hayes,16279
4,Moses Malone,16212
5,Tim Duncan,15091
6,Karl Malone,14968
7,Robert Parish,14715
8,Kevin Garnett,14662
9,Nate Thurmond,14464
10,Walt Bellamy,14241
11,Wes Unseld,13769
12,Hakeem Olajuwon,13748
13,Dwight Howard*,13691
14,Shaquille O'Neal,13099
15,Buck Williams,13017
16,Jerry Lucas,12942
17,Bob Petit,12849
18,Charles Barkley,12546
19,Dikembe Mutombo,12359
20,Paul Silas,12357
21,Charles Oakley,12205
22,Dennis Rodman,11954
23,Kevin Willis,11901
24,Patrick Ewing,11607
25,Dirk Nowitzki,11489
26,Elgin Baylor,11463
27,Pau Gasol*,11305
28,Dolph Schayes,11256
29,Bill Bridges,11054
