,Year,Population in thousands
0,2020,11589.62
1,2019,11539.33
2,2018,11482.18
3,2017,11419.75
4,2016,11354.41
5,2015,11287.93
6,2014,11221.23
7,2013,11154.01
8,2012,11085.36
9,2011,11013.86
10,2010,10938.74
11,2009,10859.93
12,2008,10778.76
13,2007,10697.58
14,2006,10619.48
15,2005,10546.89
16,2004,10480.12
17,2003,10419.03
18,2002,10364.88
19,2001,10319.03
20,2000,10282.05
21,1999,10255.16
22,1998,10237.3
23,1997,10223.79
24,1996,10208.27
25,1995,10186.3
26,1994,10155.91
27,1993,10118.68
28,1992,10078.1
29,1991,10039.45
30,1990,10006.55
31,1989,9980.18
32,1988,9959.01
33,1987,9942.28
34,1986,9928.54
35,1985,9916.58
36,1984,9906.37
37,1983,9897.88
38,1982,9889.82
39,1981,9880.59
40,1980,9869.0
41,1979,9854.37
42,1978,9836.81
43,1977,9816.69
44,1976,9794.77
45,1975,9771.58
46,1974,9747.02
47,1973,9720.75
48,1972,9692.85
49,1971,9663.32
50,1970,9632.18
51,1969,9599.65
52,1968,9565.59
53,1967,9529.05
54,1966,9488.76
55,1965,9443.95
56,1964,9394.3
57,1963,9340.42
58,1962,9283.55
59,1961,9225.41
60,1960,9167.36
61,1959,9110.07
62,1958,9053.64
63,1957,8997.85
64,1956,8942.41
65,1955,8887.28
66,1954,8832.7
67,1953,8779.27
68,1952,8727.99
69,1951,8680.18
70,1950,8637.52
71,1949,8600.0
72,1948,8570.0
73,1947,8540.0
74,1946,8510.0
75,1945,8480.0
76,1944,8450.0
77,1943,8420.0
78,1942,8390.0
79,1941,8360.0
80,1940,8340.0
81,1939,8310.0
82,1938,8280.0
83,1937,8250.0
84,1936,8230.0
85,1935,8200.0
86,1934,8170.0
87,1933,8140.0
88,1932,8120.0
89,1931,8090.0
90,1930,8050.0
91,1929,8010.0
92,1928,7960.0
93,1927,7900.0
94,1926,7850.0
95,1925,7800.0
96,1924,7750.0
97,1923,7700.0
98,1922,7640.0
99,1921,7600.0
100,1920,7570.0
101,1919,7550.0
102,1918,7530.0
103,1917,7530.0
104,1916,7520.0
105,1915,7510.0
106,1914,7510.0
107,1913,7500.0
108,1912,7500.0
109,1911,7480.0
110,1910,7440.0
111,1909,7390.0
112,1908,7330.0
113,1907,7250.0
114,1906,7170.0
115,1905,7090.0
116,1904,7010.0
117,1903,6940.0
118,1902,6860.0
119,1901,6790.0
120,1900,6720.0
121,1899,6650.0
122,1898,6580.0
123,1897,6520.0
124,1896,6460.0
125,1895,6390.0
126,1894,6330.0
127,1893,6270.0
128,1892,6210.0
129,1891,6150.0
130,1890,6090.0
131,1889,6030.0
132,1888,5980.0
133,1887,5920.0
134,1886,5860.0
135,1885,5810.0
136,1884,5750.0
137,1883,5700.0
138,1882,5640.0
139,1881,5590.0
140,1880,5540.0
141,1879,5490.0
142,1878,5450.0
143,1877,5400.0
144,1876,5360.0
145,1875,5310.0
146,1874,5270.0
147,1873,5220.0
148,1872,5180.0
149,1871,5140.0
150,1870,5100.0
151,1869,5060.0
152,1868,5020.0
153,1867,4980.0
154,1866,4950.0
155,1865,4910.0
156,1864,4880.0
157,1863,4840.0
158,1862,4810.0
159,1861,4770.0
160,1860,4740.0
161,1859,4710.0
162,1858,4680.0
163,1857,4650.0
164,1856,4620.0
165,1855,4590.0
166,1854,4560.0
167,1853,4530.0
168,1852,4510.0
169,1851,4480.0
170,1850,4440.0
171,1849,4410.0
172,1848,4370.0
173,1847,4340.0
174,1846,4300.0
175,1845,4260.0
176,1844,4220.0
177,1843,4190.0
178,1842,4150.0
179,1841,4120.0
180,1840,4080.0
181,1839,4050.0
182,1838,4010.0
183,1837,3980.0
184,1836,3940.0
185,1835,3910.0
186,1834,3880.0
187,1833,3850.0
188,1832,3810.0
189,1831,3780.0
190,1830,3750.0
191,1829,3720.0
192,1828,3680.0
193,1827,3650.0
194,1826,3620.0
195,1825,3590.0
196,1824,3560.0
197,1823,3530.0
198,1822,3500.0
199,1821,3470.0
200,1820,3450.0
201,1819,3430.0
202,1818,3420.0
203,1817,3410.0
204,1816,3400.0
205,1815,3390.0
206,1814,3380.0
207,1813,3370.0
208,1812,3360.0
209,1811,3350.0
210,1810,3340.0
211,1809,3330.0
212,1808,3320.0
213,1807,3310.0
214,1806,3300.0
215,1805,3300.0
216,1804,3290.0
217,1803,3280.0
218,1802,3270.0
219,1801,3260.0
220,1800,3250.0
