,Month,Number of video views in billions
0,Nov-20,30.96
1,Oct-20,30.02
2,Sep-20,29.11
3,Aug-20,28.21
4,Jul-20,27.24
5,Jun-20,26.37
6,May-20,25.61
7,Apr-20,24.87
8,Mar-20,24.08
9,Feb-20,23.35
10,Jan-20,22.59
11,Dec-19,21.84
12,Nov-19,21.08
13,Oct-19,20.44
14,Sep-19,19.67
15,Aug-19,18.9
16,Jul-19,18.15
17,Jun-19,17.66
18,May-19,16.79
19,Apr-19,15.92
20,Mar-19,15.08
21,Feb-19,14.51
22,Jan-19,13.84
23,Dec-18,13.31
24,Nov-18,12.76
25,Oct-18,12.15
26,Sep-18,11.5
27,Aug-18,10.73
28,Jul-18,9.96
29,Jun-18,9.34
30,May-18,8.72
31,Apr-18,8.34
32,Mar-18,7.78
33,Feb-18,7.49
34,Jan-18,7.03
35,Dec-17,6.62
36,Nov-17,6.21
37,Oct-17,5.67
