,Year,Inflation rate
0,2024*,25%
1,2023*,25.5%
2,2022*,27%
3,2021*,29%
4,2020*,31%
5,2019*,35.68%
6,2018,30.49%
7,2017,9.64%
8,2016,9.05%
9,2015,11.92%
10,2014,15.56%
11,2013,34.7%
12,2012,30.57%
13,2011,21.53%
14,2010,12.3%
15,2009,10.82%
16,2008,25.3%
17,2007,18.41%
18,2006,12%
19,2005,10.25%
20,2004,15.32%
21,2003,15.57%
22,2002,15.83%
23,2001,11.54%
24,2000,12.29%
25,1999,20.24%
26,1998,18.45%
27,1997,16.54%
28,1996,23.92%
29,1995,49.32%
30,1994,34.86%
31,1993,22.47%
32,1992,24.48%
33,1991,20.17%
34,1990,9%
35,1989,17.4%
36,1988,28.9%
37,1987,27.71%
38,1986,23.72%
39,1985,4.38%
40,1984,12.58%
