,Country,National debt in relation to GDP
0,Greece,176.7%
1,Italy,137.6%
2,Portugal,120%
3,Belgium,104.4%
4,France,101.2%
5,Spain,98.8%
6,Cyprus,97.7%
7,Euro area,86.3%
8,EU,79.5%
9,Croatia,74.3%
10,Austria,72.8%
11,Slovenia,69.6%
12,Hungary,66.6%
13,Finland,64.2%
14,Germany,61.3%
15,Ireland,59.1%
16,Netherlands,49.5%
17,Slovakia,49.3%
18,Poland,47.9%
19,Malta,44.4%
20,Romania,37.4%
21,Latvia,37.1%
22,Sweden,35.9%
23,Denmark,33.2%
24,Lithuania,33.2%
25,Czech Republic,32.8%
26,Luxembourg,22.3%
27,Bulgaria,20.3%
28,Estonia,8.9%
