,Smithsonian Museums,Number of visits in millions
0,National Air and Space Museum's Steven F. Udvar-Hazy Center,6.2
1,National Air and Space Museum,6.2
2,National Museum of Natural History,4.8
3,National Museum of American History,4.1
4,Smithsonian American Art Museum (With the Renwick Gallery),3.15
5,National Portrait Gallery,2.3
6,National Museum of African American History and Culture,1.9
7,National Zoo,1.8
8,"National Museum of the American Indian (Washington, D.C.)",1.1
9,"Smithsonian Institution Building, ""The Castle""",1.0
10,Hirshhorn Museum and Sculpture Garden,0.88
11,Renwick Gallery of the Smithsonian American Art Museum,0.71
12,National Postal Museum,0.5
13,National Museum of the American Indian Heye Center (New York City),0.41
14,"Cooper Hewitt, Smithsonian Design Museum",0.32
15,Freer Gallery of Art,0.24
16,National Museum of African Art,0.14
17,S. Dillon Ripley Center,0.13
18,Arthur M. Sackler Gallery,0.13
