,player,Number of runs scored
0,M Raj (IND),6888
1,CM Edwards (ENG),5992
2,BJ Clark (AUS),4844
3,KL Rolton (AUS),4814
4,SR Taylor (WI),4754
5,SW Bates (NZ),4534
6,SC Taylor (ENG),4101
7,DA Hockley (NZ),4064
8,SJ Taylor (ENG),4056
9,AE Satterthwaite (NZ),3821
10,MM Lanning (AUS),3693
11,AJ Blackwell (AUS),3492
12,M du Preez (SA),3239
13,EA Perry (AUS),3022
14,HM Tiffen (NZ),2919
15,A Chopra (IND),2856
16,EC Drumm (NZ),2844
17,DJS Dottin (WI),2833
18,HC Knight (ENG),2800
19,LC Sthalekar (AUS),2728
