,Month,Index value
0,Aug 20,223.97
1,Jul 20,221.63
2,Jun 20,219.87
3,May 20,218.62
4,Apr 20,217.36
5,Mar 20,215.22
6,Feb 20,213.25
7,Jan 20,212.34
8,Dec 19,212.38
9,Nov 19,212.3
10,Oct 19,212.18
11,Sep 19,212.1
12,Aug 19,212.06
13,Jul 19,211.63
14,Jun 19,210.87
15,May 19,209.65
16,Apr 19,207.96
17,Mar 19,206.06
18,Feb 19,204.72
19,Jan 19,204.46
20,Dec 18,204.94
21,Nov 18,205.34
22,Oct 18,205.59
23,Sep 18,205.6
24,Aug 18,205.55
25,Jul 18,205.18
26,Jun 18,204.27
27,May 18,202.66
28,Apr 18,200.8
29,Mar 18,198.76
30,Feb 18,197.08
31,Jan 18,196.29
32,Dec 17,196.02
33,Nov 17,195.61
34,Oct 17,195.24
35,Sep 17,194.97
36,Aug 17,194.5
37,Jul 17,193.66
38,Jun 17,192.4
39,May 17,190.65
40,Apr 17,188.65
41,Mar 17,186.64
42,Feb 17,185.14
