,Nfl Team,Franchise value in million U.S. dollars
0,Dallas Cowboys,5500
1,New England Patriots,4100
2,New York Giants,3900
3,Los Angeles Rams,3800
4,San Francisco 49ers,3500
5,Chicago Bears,3450
6,Washington Redskins,3400
7,New York Jets,3200
8,Houston Texans,3100
9,Philadelphia Eagles,3050
10,Denver Broncos,3000
11,Oakland Raiders,2900
12,Green Bay Packers,2850
13,Pittsburgh Steelers,2800
14,Seattle Seahawks,2775
15,Miami Dolphins,2760
16,Atlanta Falcons,2755
17,Baltimore Ravens,2750
18,Minnesota Vikings,2700
19,Indianapolis Colts,2650
20,Los Angeles Chargers,2500
21,Carolina Panthers,2400
22,Jacksonville Jaguars,2325
23,Kansas City Chiefs,2300
24,New Orleans Saints,2275
25,Arizona Cardinals,2250
26,Tampa Bay Buccaneers,2200
27,Cleveland Browns,2175
28,Tennessee Titans,2150
29,Cincinnati Bengals,2000
30,Detroit Lions,1950
31,Buffalo Bills,1900
