,State,Number of children enrolled
0,United States *,1565168
1,California,241859
2,Texas,231485
3,Florida,173645
4,New York,121572
5,Georgia,80536
6,Illinois,74940
7,New Jersey,50684
8,Wisconsin,46736
9,Oklahoma,39807
10,Michigan,37325
11,Massachusetts,34130
12,Maryland,31162
13,Pennsylvania,29710
14,North Carolina,28385
15,South Carolina,27443
16,Iowa,27195
17,Kentucky,21270
18,Colorado,21037
19,Arkansas,19498
20,Louisiana,18911
21,Tennessee,18354
22,Virginia,17959
23,Ohio,17913
24,Alabama,16051
25,West Virginia,14629
26,Connecticut,14449
27,Kansas,14022
28,District of Columbia,13332
29,Nebraska,12950
30,Washington,12491
31,Oregon,9464
32,New Mexico,9119
33,Vermont,8449
34,Minnesota,7672
35,Maine,5551
36,Arizona,5256
37,Missouri,2378
38,Nevada,2102
39,Mississippi,1840
40,Rhode Island,1080
41,North Dakota,965
42,Delaware,845
43,Hawaii,373
44,Alaska,315
45,Montana,279
46,Guam,71
