,Quarter,Viewers in thousands
0,Q1 2012,7005
1,Q2 2012,7064
2,Q3 2012,7020
3,Q4 2012,6659
4,Q1 2013,6806
5,Q2 2013,6447
6,Q3 2013,6795
7,Q4 2013,6204
8,Q1 2014,6432
9,Q2 2014,6303
10,Q3 2014,6082
11,Q4 2014,5772
12,Q1 2015,5537
13,Q2 2015,4904
14,Q3 2015,5435
15,Q4 2015,3139
16,Q1 2016,4917
17,Q2 2016,4362
18,Q3 2016,4615
19,Q4 2016,4141
20,Q1 2017,3433
21,Q2 2017,3751
22,Q3 2017,4239
23,Q4 2017,4359
24,Q1 2018,3557
25,Q2 2018,3037
26,Q3 2018,3456
27,Q4 2018,3280
28,Q1 2019,2787
29,Q2 2019,2495
30,Q3 2019,2800
