,Year,Inflation rate compared to previous year
0,2025*,2%
1,2024*,2%
2,2023*,2%
3,2022*,2.05%
4,2021*,2.25%
5,2020*,2.8%
6,2019,2.45%
7,2018,1.07%
8,2017,0.64%
9,2016,0.87%
10,2015,2.7%
11,2014,1.85%
12,2013,2.05%
13,2012,2.38%
14,2011,2.94%
15,2010,1.28%
16,2009,3.04%
17,2008,5.34%
18,2007,1.13%
19,2006,4.91%
20,2005,1.99%
21,2004,0.25%
22,2003,0.63%
23,2002,2.82%
24,2001,4.45%
25,2000,1.25%
26,1999,1.83%
27,1998,3.18%
28,1997,4.78%
29,1996,3.92%
30,1995,25.81%
31,1994,12.66%
32,1993,-3.72%
33,1992,1.89%
34,1991,-0.6%
35,1990,1.5%
36,1989,1.6%
37,1988,1.71%
38,1987,2.79%
39,1986,4.3%
40,1985,4.2%
