,Country,"Incarceration rate per 100,000 of national population"
0,United States,655
1,Turkey,318
2,Israel,234
3,Chile,231
4,New Zealand,214
5,Czech Republic,203
6,Poland,196
7,Estonia,194
8,Slovakia,190
9,Hungary,173
10,Australia,172
11,Mexico,163
12,United Kingdom: Scotland,150
13,United Kingdom:  England & Wales,139
14,Portugal,127
15,Spain,127
16,Canada,114
17,South Korea,109
18,Luxembourg,107
19,France,104
20,Italy,100
21,Greece,99
22,Austria,98
23,Belgium,88
24,Switzerland,81
25,Ireland,81
26,Germany,77
27,United Kingdom: Northern Ireland,76
28,Slovenia,64
29,Norway,63
30,Denmark,63
31,Netherlands,61
32,Sweden,59
33,Finland,51
34,Japan,41
35,Iceland,37
