,Month,Number of tested people
0,December 7 to December 13,220504
1,November 30 to December 6,185977
2,November 23 to November 29,163421
3,November 16 to November 22,166913
4,November 9 to November 15,155653
5,November 2 to November 8,165041
6,October 26 to November 1,197534
7,October 19 to October 25,215483
8,October 12 to October 18,225890
9,October 5 to October 11,240434
10,September 28 to October 4,225655
11,September 21 to September 27,214472
12,September 14 to September 20,203384
13,September 7 to September 13,197923
14,August 31 to September 6,184761
15,August 24 to August 30,185167
16,August 17 to August 23,161406
17,August 10 to August 16,121253
18,August 3 to August 9,118058
19,July 27 to August 2,122021
20,July 20 to July 26,113744
21,July 13 to July 19,89783
22,July 6 to July 12,79309
23,June 29 to July 5,69658
24,June 22 to June 28,64140
25,June 15 to June 21,65541
26,June 8 to June 14,63778
27,June 1 to June 7,58956
28,May 25 to May 31,33871
29,May 18 to May 24,28836
30,May 11 to May 17,32687
31,May 4 to May 10,29006
32,April 27 to May 3,28954
33,April 20 to April 26,38395
34,April 13 to April 19,40102
35,April 6 to April 12,38960
36,March 30 to April 5,29098
37,March 23 to March 29,24745
38,March 16 to March 22,21338
39,March 9 to March 15,17080
