,Response,Percentage of employees
0,Netherlands,35.7%
1,Sweden,34.7%
2,Iceland,31.5%
3,Luxembourg,30.8%
4,Finland,30.3%
5,Denmark,27.4%
6,United Kingdom,23.8%
7,Belgium,22.7%
8,Austria,21.7%
9,France,20.7%
10,Estonia,20.1%
11,Ireland,19.3%
12,Slovenia,17.8%
13,EU28,15%
14,Portugal,14.7%
15,Poland,13.2%
16,Germany,11.6%
17,Norway,11.4%
18,Switzerland,11%
19,Malta,9.7%
20,Czechia,9.4%
21,Slovakia,9%
22,Montenegro,8%
23,Spain,7.5%
24,Croatia,6.7%
25,Hungary,6%
26,Greece,5.1%
27,Latvia,4.8%
28,Italy,4.8%
29,Lithuania,4.6%
30,Turkey,2.9%
31,North Macedonia,2.8%
32,Cyprus,2.2%
33,Bulgaria,1%
34,Romania,0.7%
