,type of cancer,Estimated number of new cancer cases
0,Breast,2261419
1,Lung,2206771
2,Colorectum,1931590
3,Prostate,1414259
4,Stomach,1089103
5,Liver,905677
6,Cervixuteri,604127
7,Oesophagus,604100
8,Thyroid,586202
9,Bladder,573278
10,Non-Hodgkinlymphoma,544352
11,Pancreas,495773
12,Leukaemia,474519
13,Kidney,431288
14,Corpusuteri,417367
15,"Lip,oralcavity",377713
16,Melanomaofskin,324635
17,Ovary,313959
18,"Brain,centralnervoussystem",308102
19,Larynx,184615
20,Multiplemyeloma,176404
21,Nasopharynx,133354
22,Gallbladder,115949
23,Oropharynx,98412
24,Hypopharynx,84254
25,Hodgkinlymphoma,83087
26,Testis,74458
27,Salivaryglands,53583
28,Vulva,45240
29,Penis,36068
30,Kaposisarcoma,34270
31,Mesothelioma,30870
32,Vagina,17908
