,Quarter,Advertising revenue,Other revenue
0,Q4 '19,20736,346
1,Q3 '19,17383,269
2,Q2 '19,16624,262
3,Q1 '19,14912,165
4,Q4 '18,16640,274
5,Q3 '18,13539,188
6,Q2 '18,13038,193
7,Q1 '18,11795,171
8,Q4 '17,12779,193
9,Q3 '17,10142,186
10,Q2 '17,9164,157
11,Q1 '17,7857,175
12,Q4 '16,8629,180
13,Q3 '16,6816,195
14,Q2 '16,6239,197
15,Q1 '16,5201,181
16,Q4 '15,5637,204
17,Q3 '15,4299,202
18,Q2 '15,3827,215
19,Q1 '15,3317,226
20,Q4 '14,3594,257
21,Q3 '14,2957,246
22,Q2 '14,2676,234
23,Q1 '14,2265,237
24,Q4 '13,2344,241
25,Q3 '13,1798,218
26,Q2 '13,1599,214
27,Q1 '13,1245,213
28,Q4 '12,1329,256
29,Q3 '12,1086,176
30,Q2 '12,992,192
31,Q1 '12,872,186
32,Q4 '11,943,188
33,Q3 '11,798,156
34,Q2 '11,776,119
35,Q1 '11,637,94
36,Q4 '10,655,76
37,Q3 '10,450,17
38,Q2 '10,424,8
39,Q1 '10,340,5
