,Year,Inflation rate compared to previous year
0,2025*,1.82%
1,2024*,1.8%
2,2023*,1.6%
3,2022*,1.54%
4,2021*,1.43%
5,2020*,0.82%
6,2019,1.64%
7,2018,2.04%
8,2017,1.87%
9,2016,1.14%
10,2015,0.7%
11,2014,0.21%
12,2013,0.44%
13,2012,0.94%
14,2011,1.36%
15,2010,1.9%
16,2009,1.94%
17,2008,3.35%
18,2007,1.68%
19,2006,1.5%
20,2005,0.84%
21,2004,1.02%
22,2003,2.32%
23,2002,1.94%
24,2001,2.68%
25,2000,1.3%
26,1999,0.57%
27,1998,1.01%
28,1997,1.82%
29,1996,1.02%
30,1995,2.47%
31,1994,2.91%
32,1993,4.69%
33,1992,1.38%
34,1991,8.79%
35,1990,3.2%
36,1989,6.44%
37,1988,5.83%
38,1987,4.19%
39,1986,4.24%
40,1985,7.37%
