,Response,Share of respondents
0,Magazine in any format,31%
1,Print version of a magazine,19%
2,Both a print and a digital version of a magazine,9%
3,Digital version of a magazine,2%
4,Newspaper in any format,29%
5,Print version of a newspaper,14%
6,Both a print and a digital version of a newspaper,12%
7,Digital version of a newspaper,3%
8,News apps for your smartphone or tablet,15%
9,Digital news site,10%
10,Print or digital newsletter,9%
11,"Public television, public radio, or other nonprofit journalism",17%
12,Public television,10%
13,Other nonprofit journalism,8%
14,Public radio,7%
