,Year,Inflation rate compared to previous year
0,2024*,2.43%
1,2023*,2.43%
2,2022*,2.43%
3,2021*,2.42%
4,2020*,2.59%
5,2019*,3.09%
6,2018,6.07%
7,2017,4.48%
8,2016,-0.82%
9,2015,-3.7%
10,2014,1.8%
11,2013,4.82%
12,2012,6.58%
13,2011,4.97%
14,2010,3.98%
15,2009,0.79%
16,2008,10.7%
17,2007,4.06%
18,2006,4.09%
19,2005,-1.43%
20,2004,1.67%
21,2003,1.27%
22,2002,1.76%
23,2001,-0.37%
24,2000,-0.36%
25,1999,0.24%
26,1998,4.55%
27,1997,7.75%
28,1996,8.88%
29,1995,10.28%
30,1994,8.24%
31,1993,24.74%
32,1992,99.85%
33,1991,50.12%
34,1990,68.9%
35,1989,72.2%
36,1988,155%
37,1987,487.2%
38,1986,95.4%
39,1985,69.4%
40,1984,17.6%
