,Quarter,Gross disposable income in million euros
0,Q1 20*,94645
1,Q4 19*,100363
2,Q3 19*,94168
3,Q2 19*,112830
4,Q1 19*,90618
5,Q4 18*,97324
6,Q3 18*,90895
7,Q2 18*,108028
8,Q1 18*,86376
9,Q4 17,92427
10,Q3 17,86306
11,Q2 17,103180
12,Q1 17,83441
13,Q4 16,90397
14,Q3 16,84336
15,Q2 16,101043
16,Q1 16,80818
17,Q4 15,86405
18,Q3 15,82761
19,Q2 15,98678
20,Q1 15,78665
21,Q4 14,84890
22,Q3 14,79760
23,Q2 14,96674
24,Q1 14,78913
25,Q4 13,83203
26,Q3 13,78345
27,Q2 13,94132
28,Q1 13,76485
29,Q4 12,81031
30,Q3 12,77152
31,Q2 12,93528
32,Q1 12,77100
33,Q4 11,79780
34,Q3 11,75835
35,Q2 11,95089
36,Q1 11,75432
37,Q4 10,78144
38,Q3 10,76593
39,Q2 10,90560
40,Q1 10,73783
41,Q4 09,78428
42,Q3 09,73217
43,Q2 09,93104
44,Q1 09,69529
45,Q4 08,77190
46,Q3 08,74872
47,Q2 08,92029
48,Q1 08,70546
49,Q4 07,75236
50,Q3 07,72665
51,Q2 07,87867
52,Q1 07,68691
53,Q4 06,71881
54,Q3 06,69741
55,Q2 06,84867
56,Q1 06,65847
57,Q4 05,66164
58,Q3 05,68705
59,Q2 05,81081
60,Q1 05,63927
61,Q4 04,65895
62,Q3 04,65932
63,Q2 04,80773
64,Q1 04,63221
65,Q4 03,64688
66,Q3 03,66736
67,Q2 03,77305
68,Q1 03,62005
69,Q4 02,64730
70,Q3 02,64698
71,Q2 02,76715
72,Q1 02,61517
73,Q4 01,62826
74,Q3 01,63550
75,Q2 01,73174
76,Q1 01,59892
77,Q4 00,57098
78,Q3 00,57161
79,Q2 00,66286
80,Q1 00,55838
81,Q4 99,55289
82,Q3 99,54056
83,Q2 99,63133
84,Q1 99,50809
