,Response,Share of respondents
0,More exercise / improving fitness,47%
1,Losing weight,44%
2,Improving my diet,41%
3,Saving more money,31%
4,I have never made a New Year's Resolution,27%
5,Taking up a new hobby,18%
6,Cutting down on drinking alcohol,16%
7,Giving up smoking / vaping,14%
8,Decorating / renovating my home,11%
9,Pursuing a career ambition,11%
10,More time with my family,11%
11,Cutting down on social media usage,7%
12,Volunteering or charity work,6%
13,Cutting down on phone usage,4%
14,Other,4%
15,Don't know /can't recall,3%
