,Month,Number of deaths
0,Oct 20,46296
1,Sep 20,42500
2,Aug 20,37187
3,Jul 20,40780
4,Jun 20,42624
5,May 20,52374
6,Apr 20,88153
7,Mar 20,49723
8,Feb 20,43653
9,Jan 20,56706
10,Dec 19,47469
11,Nov 19,45219
12,Oct 19,46240
13,Sep19,40012
14,Aug 19,38843
15,Jul 19,42305
16,Jun 19,38606
17,May 19,44388
18,Apr 19,44123
19,Mar 19,43946
20,Feb 19,45796
21,Jan 19,53910
22,Dec 18,41539
23,Nov 18,43978
24,Oct 18,44440
25,Sep 18,37137
26,Aug 18,40192
27,Jul 18,40723
28,Jun 18,39767
29,May 18,42784
30,Apr 18,46469
31,Mar 18,51229
32,Feb 18,49177
33,Jan 18,64154
34,Dec 17,45129
35,Nov 17,45580
36,Oct 17,43597
37,Sep 17,40095
38,Aug 17,41074
39,Jul 17,38425
40,Jun 17,42175
41,May 17,44279
42,Apr 17,39101
43,Mar 17,48664
44,Feb 17,47766
45,Jan 17,57368
46,Dec 16,45555
47,Nov 16,46514
48,Oct 16,40448
49,Sep 16,40367
50,Aug 16,40786
51,Jul 16,38983
52,Jun 16,42012
53,May 16,41384
54,Apr 16,46856
55,Mar 16,48665
56,Feb 16,46021
57,Jan 16,47457
58,Dec 15,45509
59,Nov 15,41520
60,Oct 15,42232
61,Sep 15,41573
62,Aug 15,36199
63,Jul 15,40512
64,Jun 15,42082
65,May 15,39343
66,Apr 15,45178
67,Mar 15,47895
68,Feb 15,46721
69,Jan 15,60891
