,Year,Export volume in billion U.S. dollars
0,2019,31.22
1,2018,30.56
2,2017,25.74
3,2016,26.03
4,2015,25.83
5,2014,26.68
6,2013,25.52
7,2012,24.34
8,2011,25.93
9,2010,26.05
10,2009,18.49
11,2008,24.93
12,2007,25.83
13,2006,22.71
14,2005,21.61
15,2004,21.59
16,2003,17.45
17,2002,18.38
18,2001,18.12
19,2000,24.41
20,1999,19.13
21,1998,18.16
22,1997,20.37
23,1996,18.46
24,1995,19.29
25,1994,17.11
26,1993,16.17
27,1992,15.25
28,1991,13.18
29,1990,11.49
30,1989,11.33
31,1988,12.13
32,1987,7.41
33,1986,5.52
34,1985,4.7
