,Industry Sector,Share of responding businesses
0,Retail or wholesale (incl. online shops),19%
1,"Professional services (e.g., financial services, consulting, travel agents, business services)",10%
2,Restaurant/café or other food services,11%
3,"Personal services (e.g. beauty and wellness, repair of household goods)",5%
4,"Media, communication or information (e.g., broadcasting, telecoms, computer programming)",11%
5,"Arts, entertainment or recreation (e.g., museum, creative arts, sports club)",8%
6,Construction or home repair,4%
7,Manufacturing,4%
8,"Education (e.g., schools, tutoring, driving school)",3%
9,"Healthcare (e.g., dentist, senior care)",3%
10,"Accommodation (e.g., hotels, camping grounds)",5%
11,"Real estate (e.g., brokerage, leasing, management)",1%
12,Automotive repair or services,2%
13,Non-profit/charity organization,1%
14,"Transportation or storage (e.g., taxi, warehousing)",1%
15,Other,13%
