,Player Name,Payroll in thousand U.S. dollars
0,Tim Howard,2475.0
1,Kei Kamara,750.0
2,Kellyn Acosta,665.0
3,Tommy Smith,640.0
4,Daniel Wilson,540.0
5,Jack Price,437.5
6,Nana Adjei-Boateng,391.25
7,Diego Rubio Kostner,353.75
8,Nicolas Mezquida,320.0
9,Sam Nicholson,313.0
10,Johan Blomberg,250.96
11,Axel Sjoberg,180.0
12,Keegan Rosenberry,164.95
13,Lalas Abubakar,144.94
14,Clint Irwin,138.81
15,Jonathan Lewis,121.0
16,Dillon Serna,120.0
17,Matt Hundley,98.0
18,Andre Shinyashiki,95.0
19,Kortne Ford,85.0
20,Cole Bassett,84.0
21,Sam Vines,81.25
22,Sebastian Anderson,80.92
23,Deklan Wynne,74.25
24,Andre Rawls,72.36
25,Kofi Opare,70.25
26,Sam Raben,70.25
27,Abdul Rwatubyaye,62.63
28,Niki Jackson,57.23
