,business,Direct premiums written in million U.S. dollars
0,Odyssey Reins. Group,1650.99
1,Munich Re America Corp.,1133.84
2,General Re Group,443.7
3,SCOR U.S. Group/SCOR re,391.22
4,Everest Reins. Co.,387.63
5,Sirius America Insurance Co.,271.7
6,Endurance Reins. Corp. of America,250.84
7,National Indemnity Co.,245.68
8,Transatlantic Reinsurance,91.21
9,Axis Reins. Co.,83.61
10,American Agricultural Ins. Co.,45.16
11,XL Reins. America,20.43
12,Renaissance Reinsurance. U.S. Inc.,0.0
13,EMC Reins Co.,0.0
14,Swiss Reins America Corp.,0.0
15,The Toa Reins. Co. of America,0.0
16,Partner Reins. Co.,0.0
