,Year,Gross domestic product in billion U.S. dollars
0,2024*,669.68
1,2023*,632.46
2,2022*,598.91
3,2021*,567.67
4,2020*,540.79
5,2019*,528.93
6,2018,556.07
7,2017,540.55
8,2016,515.74
9,2015,503.65
10,2014,580.25
11,2013,579.36
12,2012,544.48
13,2011,563.8
14,2010,488.91
15,2009,430.11
16,2008,514.59
17,2007,488.4
18,2006,420.54
19,2005,389.49
20,2004,382.15
21,2003,331.53
22,2002,264.35
23,2001,240.28
24,2000,260.16
25,1999,271.18
26,1998,267.23
27,1997,264.83
28,1996,288.46
29,1995,264.35
30,1994,226.34
31,1993,210.19
32,1992,279.38
33,1991,268.62
34,1990,255.94
35,1989,213.05
36,1988,202.61
37,1987,179.07
38,1986,147.3
39,1985,111.54
40,1984,106.62
