,Quarter,Debt in trillion U.S. dollars
0,Q3 2019,10.52
1,Q2 2019,10.46
2,Q1 2019,10.37
3,Q4 2018,10.32
4,Q3 2018,10.26
5,Q2 2018,10.19
6,Q1 2018,10.1
7,Q4 2017,10.04
8,Q3 2017,9.97
9,Q2 2017,9.9
10,Q1 2017,9.88
11,Q4 2016,9.79
12,Q3 2016,9.73
13,Q2 2016,9.67
14,Q1 2016,9.62
15,Q4 2015,9.59
16,Q3 2015,9.52
17,Q2 2015,9.49
18,Q1 2015,9.45
19,Q4 2014,9.46
20,Q3 2014,9.44
21,Q2 2014,9.45
22,Q1 2014,9.46
23,Q4 2013,9.47
24,Q3 2013,9.49
25,Q2 2013,9.49
26,Q1 2013,9.53
27,Q4 2012,9.56
28,Q3 2012,9.61
29,Q2 2012,9.66
30,Q1 2012,9.72
