,Month,Share of respondents
0,Personal freedom,66%
1,Religious freedom,56%
2,Equality,55%
3,Security,54%
4,The pursuit of happiness,53%
5,Economic freedom,51%
6,Freedom of justice,48%
7,Political freedom,45%
8,Common good,44%
9,Diversity,42%
10,Freedom of the press,40%
11,Progress and change,39%
12,Patriotism,37%
13,Scientific progress,36%
14,Separation of powers,36%
15,Individualism,34%
16,Action and achievement,34%
17,Competition,30%
18,Capitalism,28%
19,Solidarity,21%
20,Volunteerism,19%
21,None of the above,4%
