,State,"Number of visits per 100,000 population"
0,Massachusetts,441.6
1,Rhode Island,288.6
2,Maryland,288.4
3,Ohio,276.5
4,Connecticut,243.0
5,Kentucky,209.3
6,New Jersey,208.2
7,Vermont,199.9
8,Arizona,199.9
9,New York,181.9
10,Nevada,172.7
11,North Carolina,165.9
12,Utah,161.6
13,Illinois,160.4
14,Missouri,155.0
15,California,145.0
16,Indiana,142.5
17,Wisconsin,141.0
18,Tennessee,133.4
19,Minnesota,120.9
20,Hawaii,100.6
21,Florida,98.2
22,South Carolina,95.8
23,North Dakota,85.4
24,Georgia,84.6
25,Kansas,69.0
26,Arkansas,62.3
27,South Dakota,47.1
28,Nebraska,39.9
29,Iowa,31.1
