,Year,Number of cooling degree-days
0,2019,1500
1,2018,1585
2,2017,1428
3,2016,1559
4,2015,1488
5,2014,1299
6,2013,1306
7,2012,1495
8,2011,1470
9,2010,1456
10,2009,1241
11,2008,1282
12,2007,1392
13,2006,1360
14,2005,1388
15,2004,1217
16,2003,1268
17,2002,1363
18,2001,1255
19,2000,1232
20,1999,1282
21,1998,1390
22,1997,1132
23,1996,1162
24,1995,1261
25,1994,1185
26,1993,1168
27,1992,1001
28,1991,1281
29,1990,1200
30,1989,1102
31,1988,1231
32,1987,1208
33,1986,1181
34,1985,1121
35,1984,1139
36,1983,1178
37,1982,1046
38,1981,1107
39,1980,1214
40,1979,1003
41,1978,1112
42,1977,1169
43,1976,920
44,1975,1049
45,1974,981
46,1973,1106
47,1972,989
48,1971,1036
49,1970,1079
50,1969,1020
51,1968,977
52,1967,902
53,1966,982
54,1965,979
55,1964,1009
56,1963,1014
57,1962,994
58,1961,980
59,1960,1000
60,1959,1142
61,1958,963
62,1957,1016
63,1956,999
64,1955,1144
65,1954,1085
66,1953,1105
67,1952,1109
68,1951,974
69,1950,871
