,Year,Gross domestic product in billion U.S. dollars
0,2024*,125.6
1,2023*,121.32
2,2022*,117.08
3,2021*,112.68
4,2020*,109.44
5,2019*,107.91
6,2018,108.4
7,2017,104.3
8,2016,99.94
9,2015,99.29
10,2014,101.73
11,2013,95.13
12,2012,87.93
13,2011,79.28
14,2010,69.56
15,2009,62.52
16,2008,61.76
17,2007,51.01
18,2006,46.8
19,2005,41.51
20,2004,36.59
21,2003,32.43
22,2002,28.55
23,2001,24.47
24,2000,18.32
25,1999,19.74
26,1998,27.47
27,1997,27.01
28,1996,24.04
29,1995,22.97
30,1994,21.15
31,1993,17.54
32,1992,15.01
33,1991,13.73
34,1990,12.24
35,1989,12.05
36,1988,12.28
37,1987,12.91
38,1986,13.82
39,1985,18.83
40,1984,16.1
