,Period of service,Number of veterans
0,"Gulf War (9/2001 or later), no Gulf War (8/1990 to 8/2001), no Vietnam Era",2449751
1,"Gulf War (9/2001 or later) and Gulf War (8/1990 to 8/2001), no Vietnam Era",1257922
2,"Gulf War (9/2001 or later), and Gulf War (8/1990 to 8/2001), and Vietnam Era",65035
3,"Gulf War (8/1990 to 8/2001), no Vietnam Era",2233613
4,Gulf War (8/1990 to 8/2001) and Vietnam Era,278423
5,"Vietnam Era, no Korean War, no World War II",5735736
6,"Vietnam Era and Korean War, no World War II",101789
7,Vietnam Era and Korean War and World War II,11894
8,"Korean War, no Vietnam Era, no World War II",1013648
9,"Korean War and World War II, no Vietnam Era",28765
10,"World War II, no Korean War, no Vietnam Era",339668
11,Between Gulf War and Vietnam Era only,2508911
12,Between Vietnam Era and Korean War only,1338116
13,Between Korean War and World War II only,53111
14,Pre-World War II only,1969
