,Quarter,Advertising revenue,Other revenue
0,Q4 '19,10021,227
1,Q3 '19,8317,170
2,Q2 '19,7952,163
3,Q1 '19,7203,105
4,Q4 '18,8246,187
5,Q3 '18,6547,120
6,Q2 '18,6137,114
7,Q1 '18,5559,108
8,Q4 '17,6271,121
9,Q3 '17,4912,121
10,Q2 '17,4450,106
11,Q1 '17,3851,117
12,Q4 '16,4435,121
13,Q3 '16,3431,129
14,Q2 '16,3077,135
15,Q1 '16,2615,125
16,Q4 '15,2847,140
17,Q3 '15,2120,136
18,Q2 '15,1826,141
19,Q1 '15,1592,147
20,Q4 '14,1709,155
21,Q3 '14,1362,152
22,Q2 '14,1175,133
23,Q1 '14,1039,140
24,Q4 '13,1068,138
25,Q3 '13,832,130
26,Q2 '13,721,127
27,Q1 '13,552,127
28,Q4 '12,631,149
29,Q3 '12,538,99
30,Q2 '12,479,111
31,Q1 '12,419,106
32,Q4 '11,462,105
33,Q3 '11,395,87
34,Q2 '11,394,77
35,Q1 '11,332,62
36,Q4 '10,359,53
37,Q3 '10,260,11
38,Q2 '10,243,6
39,Q1 '10,209,5
