,Year,Inflation rate compared to previous year
0,2024*,1.1%
1,2023*,1.17%
2,2022*,1.36%
3,2021*,1.71%
4,2020*,1.24%
5,2019*,0.38%
6,2018,-0.22%
7,2017,0.42%
8,2016,1.73%
9,2015,3.97%
10,2014,3.59%
11,2013,2.72%
12,2012,5.1%
13,2011,4.48%
14,2010,3.55%
15,2009,5.16%
16,2008,8.4%
17,2007,2.28%
18,2006,3.3%
19,2005,2.17%
20,2004,2.74%
21,2003,7.93%
22,2002,12.49%
23,2001,37.67%
24,2000,96.1%
25,1999,52.2%
26,1998,36.1%
27,1997,30.6%
28,1996,24.4%
29,1995,22.89%
30,1994,27.44%
31,1993,45%
32,1992,54.34%
33,1991,48.8%
34,1990,48.52%
35,1989,75.65%
36,1988,58.22%
37,1987,29.5%
38,1986,23.03%
39,1985,27.98%
40,1984,31.23%
