,Year,"Deaths per 1,000 live births"
0,2020,2.0
1,2015,3.0
2,2010,3.0
3,2005,4.0
4,2000,5.0
5,1995,6.0
6,1990,7.0
7,1985,8.0
8,1980,10.0
9,1975,14.0
10,1970,18.0
11,1965,23.0
12,1960,31.0
13,1955,40.0
14,1950,64.81
15,1945,89.62
16,1940,99.32
17,1935,102.3
18,1930,125.35
19,1925,141.91
20,1920,197.69
21,1915,173.25
22,1910,196.61
23,1905,220.16
24,1900,226.82
25,1895,247.15
26,1890,243.64
27,1885,286.76
28,1880,273.43
29,1875,275.63
30,1870,359.58
31,1865,362.63
32,1860,376.69
33,1855,366.45
34,1850,335.8
35,1845,330.88
36,1840,364.09
37,1835,375.7
38,1830,353.54
39,1825,346.63
40,1820,361.68
41,1815,380.05
42,1810,404.76
43,1805,420.04
44,1800,420.04
