,Month,Bitcoin price index in U.S. dollars
0,"07 Jan, 2021",36275.76
1,"06 Jan, 2021",34433.61
2,"05 Jan, 2021",31431.61
3,"04 Jan, 2021",33002.54
4,"03 Jan, 2021",32154.17
5,"02 Jan, 2021",29333.61
6,"01 Jan, 2021",29111.52
7,"Dec, 2020",28768.84
8,"Nov, 2020",18114.41
9,Oct 2020,13573.71
10,Sep 2020,10764.28
11,Aug 2020,11657.0
12,Jul 2020,11118.92
13,Jun 2020,9188.06
14,May 2020,9688.32
15,Apr 2020,8773.11
16,Mar 2020,6483.74
17,Feb 2020,8778.47
18,Jan 2020,9545.08
19,Dec 2019,7251.28
20,Nov 2019,7729.27
21,Oct 2019,9226.0
22,Sep 2019,8085.71
23,Aug 2019,9590.74
24,Jul 2019,9572.74
25,Jun 2019,12024.08
26,May 2019,8287.04
27,Apr 2019,5151.43
28,Mar 2019,4081.22
29,Feb 2019,3772.94
30,Jan 2019,3441.03
31,Dec 2018,3689.56
32,Nov 2018,3952.45
33,Oct 2018,6276.46
34,Sep 2018,6576.61
35,Aug 2018,6938.91
36,Jul 2018,8166.39
37,Jun 2018,6189.31
38,May 2018,7363.28
39,Apr 2018,9268.72
40,Mar 2018,6970.36
41,Feb 2018,10903.02
42,Jan 2018,9914.47
43,Dec 2017,13062.15
44,Nov 2017,10542.66
45,Oct 2017,6130.56
46,Sep 2017,4207.83
47,Jul 2017,2718.62
48,Jun 2017,2547.32
49,May 2017,2170.98
50,Apr 2017,1311.59
51,Mar 2017,1048.86
52,Feb 2017,1189.95
53,Jan 2017,921.35
54,Dec 2016,952.46
55,Nov 2016,731.64
56,Oct 2016,693.9
57,Sep 2016,604.52
58,Aug 2016,573.78
59,Jul 2016,635.59
60,Jun 2016,635.09
61,May 2016,537.23
62,Apr 2016,454.38
63,Mar 2016,414.46
64,Feb 2016,438.28
65,Jan 2016,378.17
66,Dec 2015,424.96
67,Nov 2015,375.2
68,Oct 2015,327.58
69,Sep 2015,238.06
70,Aug 2015,227.18
71,Jul 2015,286.74
72,Jun 2015,258.39
73,May 2015,233.33
74,Apr 2015,226.0
75,Mar 2015,247.26
76,Feb 2015,251.03
77,Jan 2015,226.94
78,Dec 2014,309.9
79,Nov 2014,376.85
80,Oct 2014,343.56
81,Sep 2014,376.08
82,Aug 2014,502.06
83,Jul 2014,564.57
84,Jun 2014,597.51
85,May 2014,612.13
86,Apr 2014,444.86
87,Mar 2014,472.48
88,Feb 2014,567.29
89,Jan 2014,841.49
90,Dec 2013,744.17
91,Nov 2013,1154.93
92,Oct 2013,196.02
