,Country,Spending in U.S. dollars
0,Netherlands,307
1,Trinidad and Tobago,301
2,Lebanon,152
3,South africa,141
4,Hungary,119
5,Jamaica,92
6,Brazil,89
7,Argentina,85
8,Costa Rica,82
9,Peru,77
10,Colombia,72
11,Serbia,54
12,Azerbaijan,48
13,Bosnia and Herzegovnia,46
14,Solomon Islands,46
15,El Salvador,43
16,Albania,41
17,Senegal,27
18,Lesotho,26
19,Mauritania,22
20,Bhutan,21
21,Nepal,19
22,Kyrgyzstan,16
23,Burkina Faso,15
24,Mali,14
25,Zambia,14
26,Kenya,9
27,Paraguay,9
28,Bangladesh,7
29,Mozambique,6
30,Pakistan,6
31,Haiti,5
32,Indonesia,3
33,Malawi,2
34,Madagascar,1
