, leading reinsurers,Policyholder surplus in million U.S. dollars
0,National Indemnity Co.,167461.14
1,General Re Group,12420.65
2,Transatlantic Reinsurance,4904.13
3,Munich Re America Corp.,3962.26
4,Everest Reins. Co.,3739.14
5,Odyssey Reins. Group,3518.24
6,Swiss Reins. America Corp.,4271.85
7,XL Reins. America,2268.74
8,Partner Reins. Co.,1080.24
9,Endurance Reins. Corp. of America,1668.87
10,SCOR U.S. Group/SCOR re,984.01
11,Axis Reins. Co.,957.88
12,The Toa Reins. Co. of America,607.11
13,American Agricultural Ins. Co.,619.92
14,Sirius America Insurance Co.,522.08
15,Renaissance Reinsurance U.S. Inc.,677.73
16,EMC Reins. Co.,220.9
