,county of California,Median household income in U.S. dollars
0,"San Jose-Sunnyvale-Santa Clara, CA","130,865$"
1,"San Francisco-Oakland-Berkeley, CA","114,696$"
2,"Washington-Arlington-Alexandria, DC-VA-MD-WV","105,659$"
3,"Bridgeport-Stamford-Norwalk, CT","97,053$"
4,"Boston-Cambridge-Newton, MA-NH","94,430$"
5,"Seattle-Tacoma-Bellevue, WA","94,027$"
6,"Napa, CA","92,769$"
7,"Oxnard-Thousand Oaks-Ventura, CA","92,236$"
8,"Santa Cruz-Watsonville, CA","89,269$"
9,"Boulder, CO","88,535$"
10,"California-Lexington Park, MD","87,947$"
11,"Santa Rosa-Petaluma, CA","87,828$"
12,"Urban Honolulu, HI","87,470$"
13,"Vallejo, CA","86,652$"
14,"Denver-Aurora-Lakewood, CO","85,641$"
15,"Poughkeepsie-Newburgh-Middletown, NY","85,152$"
16,"Barnstable Town, MA","85,042$"
17,"San Diego-Chula Vista-Carlsbad, CA","83,985$"
18,"Minneapolis-St. Paul-Bloomington, MN-WI","83,698$"
19,"Manchester-Nashua, NH","83,626$"
