,Company name,CEO-to-worker compensation ratio
0,JC Penney Co.,1795
1,Abercrombie & Fitch Co.,1640
2,Simon Property Group Inc.,1594
3,Oracle Corp.,1287
4,Starbucks Corp.,1135
5,CBS Corp.,1111
6,Ralph Lauren Corp.,1083
7,NIKE Inc.,1050
8,Discovery Communications Inc.,833
9,Yum! Brands Inc.,819
10,Chipotle Mexican Grill Inc.,778
11,McKesson Corp.,733
12,Target Corp.,664
13,L Brands Inc.,656
14,eBay Inc.,656
15,Honeywell International Inc.,633
16,Walt Disney Co.,613
17,Wal-Mart Stores Inc.,611
18,3M Co.,604
19,Macy's Inc.,595
20,American Express Co.,590
21,Coca-Cola Co.,580
22,Pall Corp.,578
23,Mondelez International Inc.,565
24,Exxon Mobil Corp.,524
25,Tyco International Ltd.,522
26,Viacom Inc.,510
27,Altera Corp.,506
28,Wynn Resorts Ltd.,499
29,General Electric Co.,491
30,Medtronic Inc.,485
31,Freeport-McMoRan Copper & Gold Inc.,479
32,Wells Fargo & Co.,473
33,Capital One Financial Corp.,468
34,News Corp.,457
35,Comcast Corp.,428
36,Ross Stores Inc.,426
37,VF Corp.,423
38,Coach Inc.,419
39,ConocoPhillips,416
40,Time Warner Inc.,412
41,Johnson Controls Inc.,409
42,Philip Morris International Inc.,407
43,Goodyear Tire & Rubber Co.,407
44,Occidental Petroleum Corp.,406
45,HJ Heinz Co.,405
46,Pfizer Inc.,394
47,Eaton Corp. PLC,394
48,LyondellBasell Industries NV,392
49,Ford Motor Co.,390
