,prefecture of Japan,Number of hospital beds
0,Tokyo,635
1,Aichi,608
2,Kanagawa,519
3,Osaka,415
4,Hokkaido,317
5,Chiba,316
6,Hyogo,291
7,Shizuoka,262
8,Fukuoka,255
9,Saitama,204
10,Okayama,153
11,Kyoto,148
12,Niigata,140
13,Hiroshima,132
14,Miyagi,130
15,Gifu,120
16,Tochigi,118
17,Ibaraki,112
18,Kumamoto,104
19,Nara,94
20,Yamaguchi,91
21,Nagano,81
22,Saga,80
23,Shiga,76
24,Wakayama,72
25,Ehime,70
26,Kochi,68
27,Gunma,66
28,Fukushima,64
29,Tokushima,64
30,Yamagata,62
31,Mie,60
32,Kagawa,54
33,Oita,51
34,Aomori,46
35,Kagoshima,44
36,Nagasaki,43
37,Shimane,41
38,Iwate,36
39,Okinawa,35
40,Akita,30
41,Tottori,29
42,Ishikawa,28
43,Fukui,28
44,Toyama,19
45,Yamanashi,16
46,Miyazaki,0
